Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,762,401,18090,35834,21107,2639,5925,34590,44243,1785,49.105564928,285.92792359
Situation familiale,Couples sans enfants,66,27,547,920,1339,123,381,1622,1400,12,54.06386499,312.05592323
Situation familiale,Familles monoparentales,29,28,203,635,746,35,288,1427,249,10,45.366348449,229.62052506
Situation familiale,Couples avec enfants,26,15,106,229,394,25,306,330,465,3,47.13836478,232.89308176
Situation maritale,Adultes seuls,791,429,18293,36469,21853,2674,6213,36017,44492,1795,49.027723609,284.75574159
Situation maritale,Adultes avec conjoint à l’AFDR,61,20,312,696,1254,102,536,1225,1220,10,53.000408998,288.71451943
Situation maritale,Adultes avec conjoint au PRB,26,18,297,341,314,30,82,520,506,3,51.881091618,314.9668616
Situation maritale,Adultes avec conjoint hors Assistance sociale,5,4,44,112,165,16,69,207,139,2,52.138728324,286.47398844
Sexe,Hommes,503,221,10163,22151,11778,1541,3689,0,46357,1131,48.029855254,275.41210605
Sexe,Femmes,380,250,8783,15467,11808,1281,3211,37969,0,679,50.607311228,297.25049382
Âge,Moins de 20 ans,0,0,0,0,0,153,9,51,102,153,18.509803922,11.849673203
Âge,De 20 à 24 ans,8,6,500,656,183,304,96,628,1029,1657,23.248038624,68.595051298
Âge,De 25 à 29 ans,40,28,2201,2476,1050,56,395,2140,3711,0,27.086139122,108.50948556
Âge,De 30 à 34 ans,43,31,2424,2482,1224,76,398,2377,3903,0,31.977707006,156.94665605
Âge,De 35 à 39 ans,76,43,2095,2960,1205,98,523,2458,4019,0,37.058514744,201.35680099
Âge,De 40 à 44 ans,74,40,2140,3785,1668,127,581,3100,4734,0,42.102246617,243.04544294
Âge,De 45 à 49 ans,91,51,2158,4103,2035,228,716,3773,4893,0,47.018232172,280.51869375
Âge,De 50 à 54 ans,110,52,2062,4691,2973,323,956,4882,5329,0,52.131818627,317.66379395
Âge,55 ans et plus,441,220,5366,16465,13248,1457,3226,18560,18637,0,60.159125736,361.17826706
Âge,35 ans et moins,105,74,5569,6128,2682,605,1001,5672,9491,1810,29.243883137,129.3089758
Âge,36 ans et plus,778,397,13377,31490,20904,2217,5899,32297,36866,0,53.563379263,319.43193615
Scolarité,Primaire,77,61,3231,2193,1698,181,630,3264,4177,301,47.002015858,298.69184249
Scolarité,Secondaire I à IV,286,172,3857,13277,8672,544,1464,11958,14850,305,50.558527305,308.93714563
Scolarité,Secondaire V,185,86,760,8243,4827,479,1236,6997,7583,63,52.794581619,280.41207133
Scolarité,Collégiale,49,25,30,3444,1390,178,563,2548,2568,0,52.905003909,262.19800625
Scolarité,Universitaire,39,14,6,2129,733,92,627,1452,1561,0,54.828742117,246.78526386
